event_id,source,domain,event_type,title,description,timestamp,infrastructure_type,severity,impact_type,physical_consequence,vulnerability,tags
CVE-2026-34197,CISA_KEV,cyber,known_exploited_vulnerability,Apache ActiveMQ Improper Input Validation Vulnerability,Apache ActiveMQ contains an improper input validation vulnerability that allows for code injection.,2026-04-16,,4,cyber,no,CVE-2026-34197,"Apache,ActiveMQ,kev"
CVE-2009-0238,CISA_KEV,cyber,known_exploited_vulnerability,Microsoft Office Remote Code Execution,Microsoft Office Excel contains a remote code execution vulnerability that could allow an attacker to take complete control of an affected system if a user opens a specially crafted Excel file that includes a malformed object.,2026-04-14,,4,cyber,no,CVE-2009-0238,"Microsoft,Office,kev"
CVE-2026-32201,CISA_KEV,cyber,known_exploited_vulnerability,Microsoft SharePoint Server Improper Input Validation Vulnerability,Microsoft SharePoint Server contains an improper input validation vulnerability that allows an unauthorized attacker to perform spoofing over a network.,2026-04-14,,4,cyber,no,CVE-2026-32201,"Microsoft,SharePoint Server,kev"
CVE-2012-1854,CISA_KEV,cyber,known_exploited_vulnerability,Microsoft Visual Basic for Applications Insecure Library Loading Vulnerability,Microsoft Visual Basic for Applications (VBA) contains an insecure library loading vulnerability that could allow for remote code execution.,2026-04-13,,4,cyber,no,CVE-2012-1854,"Microsoft,Visual Basic for Applications (VBA),kev"
CVE-2025-60710,CISA_KEV,cyber,known_exploited_vulnerability,Microsoft Windows Link Following Vulnerability,Microsoft Windows contains a link following vulnerability that allows for privilege escalation,2026-04-13,,4,cyber,no,CVE-2025-60710,"Microsoft,Windows,kev"
CVE-2023-21529,CISA_KEV,cyber,known_exploited_vulnerability,Microsoft Exchange Server Deserialization of Untrusted Data Vulnerability,Microsoft Exchange Server contains a deserialization of untrusted data that allows an authenticated attacker to achieve remote code execution.,2026-04-13,,4,cyber,no,CVE-2023-21529,"Microsoft,Exchange Server,kev"
CVE-2023-36424,CISA_KEV,cyber,known_exploited_vulnerability,Microsoft Windows Out-of-Bounds Read Vulnerability,Microsoft Windows Common Log File System Driver contains an out-of-bounds read vulnerability that could allow a threat actor for privileges escalation,2026-04-13,,4,cyber,no,CVE-2023-36424,"Microsoft,Windows,kev"
CVE-2020-9715,CISA_KEV,cyber,known_exploited_vulnerability,Adobe Acrobat Use-After-Free Vulnerability,Adobe Acrobat contains a use-after-free vulnerability that allows for code execution,2026-04-13,,4,cyber,no,CVE-2020-9715,"Adobe,Acrobat,kev"
CVE-2026-21643,CISA_KEV,cyber,known_exploited_vulnerability,Fortinet FortiClient EMS SQL Injection Vulnerability,Fortinet FortiClient EMS contains a SQL injection vulnerability that may allow an unauthenticated attacker to execute unauthorized code or commands via specifically crafted HTTP requests.,2026-04-13,,4,cyber,no,CVE-2026-21643,"Fortinet,FortiClient EMS,kev"
CVE-2026-34621,CISA_KEV,cyber,known_exploited_vulnerability,Adobe Acrobat and Reader Prototype Pollution Vulnerability,Adobe Acrobat and Reader contain a prototype pollution vulnerability that allows for arbitrary code execution.,2026-04-13,,4,cyber,no,CVE-2026-34621,"Adobe,Acrobat and Reader,kev"
CVE-2026-1340,CISA_KEV,cyber,known_exploited_vulnerability,Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,Ivanti Endpoint Manager Mobile (EPMM) contains a code injection vulnerability that could allow attackers to achieve unauthenticated remote code execution.,2026-04-08,,4,cyber,no,CVE-2026-1340,"Ivanti,Endpoint Manager Mobile (EPMM),kev"
CVE-2026-35616,CISA_KEV,cyber,known_exploited_vulnerability,Fortinet FortiClient EMS Improper Access Control Vulnerability,Fortinet FortiClient EMS contains an improper access control vulnerability that may allow an unauthenticated attacker to execute unauthorized code or commands via crafted requests.,2026-04-06,,4,cyber,no,CVE-2026-35616,"Fortinet,FortiClient EMS,kev"
CVE-2026-3502,CISA_KEV,cyber,known_exploited_vulnerability,TrueConf Client Download of Code Without Integrity Check Vulnerability,"TrueConf Client contains a download of code without integrity check vulnerability. An attacker who is able to influence the update delivery path can substitute a tampered update payload. If the payload is executed or installed by the updater, this may result in arbitrary code execution in the context of the updating process or user.",2026-04-02,,4,cyber,no,CVE-2026-3502,"TrueConf,Client,kev"
CVE-2026-5281,CISA_KEV,cyber,known_exploited_vulnerability,Google Dawn Use-After-Free Vulnerability,"Google Dawn contains an use-after-free vulnerability that could allow a remote attacker who had compromised the renderer process to execute arbitrary code via a crafted HTML page. This vulnerability could affect multiple Chromium-based products including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2026-04-01,,4,cyber,no,CVE-2026-5281,"Google,Dawn,kev"
CVE-2026-3055,CISA_KEV,cyber,known_exploited_vulnerability,Citrix NetScaler Out-of-Bounds Read Vulnerability,"Citrix NetScaler ADC (formerly Citrix ADC), NetScaler Gateway (formerly Citrix Gateway) and NetScaler ADC FIPS and NDcPP contain an out-of-bounds reads vulnerability when configured as a SAML IDP leading to memory overread.",2026-03-30,,4,cyber,no,CVE-2026-3055,"Citrix,NetScaler,kev"
CVE-2025-53521,CISA_KEV,cyber,known_exploited_vulnerability,F5 BIG-IP Stack-Based Buffer Overflow Vulnerability,F5 BIG-IP APM contains a stack-based buffer overflow vulnerability that could allow a threat actor to achieve remote code execution.,2026-03-27,,4,cyber,no,CVE-2025-53521,"F5,BIG-IP,kev"
CVE-2026-33634,CISA_KEV,cyber,known_exploited_vulnerability,Aquasecurity Trivy Embedded Malicious Code Vulnerability,"Aquasecurity Trivy contains an embedded malicious code vulnerability that could allow an attacker to gain access to everything in the CI/CD environment, including all tokens, SSH keys, cloud credentials, database passwords, and any sensitive configuration in memory.",2026-03-26,,4,cyber,no,CVE-2026-33634,"Aquasecurity,Trivy,kev"
CVE-2026-33017,CISA_KEV,cyber,known_exploited_vulnerability,Langflow Code Injection Vulnerability,Langflow contains a code injection vulnerability that could allow building public flows without requiring authentication.,2026-03-25,,4,cyber,no,CVE-2026-33017,"Langflow,Langflow,kev"
CVE-2025-32432,CISA_KEV,cyber,known_exploited_vulnerability,Craft CMS Code Injection Vulnerability,Craft CMS contains a code injection vulnerability that allows a remote attacker to execute arbitrary code.,2026-03-20,,4,cyber,no,CVE-2025-32432,"Craft CMS,Craft CMS,kev"
CVE-2025-54068,CISA_KEV,cyber,known_exploited_vulnerability,Laravel Livewire Code Injection Vulnerability,Laravel Livewire contain a code injection vulnerability that could allow unauthenticated attackers to achieve remote command execution in specific scenarios.,2026-03-20,,4,cyber,no,CVE-2025-54068,"Laravel,Livewire,kev"
CVE-2025-43510,CISA_KEV,cyber,known_exploited_vulnerability,Apple Multiple Products Improper Locking Vulnerability,"Apple watchOS, iOS, iPadOS, macOS, visionOS, and tvOS contain an improper locking vulnerability that could allow a malicious application to cause unexpected changes in memory shared between processes.",2026-03-20,,4,cyber,no,CVE-2025-43510,"Apple,Multiple Products,kev"
CVE-2025-43520,CISA_KEV,cyber,known_exploited_vulnerability,Apple Multiple Products Classic Buffer Overflow Vulnerability,"Apple watchOS, iOS, iPadOS, macOS, visionOS, and tvOS contain a classic buffer overflow vulnerability which could allow a malicious application to cause unexpected system termination or write kernel memory.",2026-03-20,,4,cyber,no,CVE-2025-43520,"Apple,Multiple Products,kev"
CVE-2025-31277,CISA_KEV,cyber,known_exploited_vulnerability,Apple Multiple Products Buffer Overflow Vulnerability,"Apple Safari, iOS, watchOS, visionOS, iPadOS, macOS, and tvOS contain a buffer overflow vulnerability that could allow the processing of maliciously crafted web content which may lead to memory corruption.",2026-03-20,,4,cyber,no,CVE-2025-31277,"Apple,Multiple Products,kev"
CVE-2026-20131,CISA_KEV,cyber,known_exploited_vulnerability,Cisco Secure Firewall Management Center (FMC) Software and Cisco Security Cloud Control (SCC) Firewall Management Deserialization of Untrusted Data Vulnerability,"Cisco Secure Firewall Management Center (FMC) Software and Cisco Security Cloud Control (SCC) Firewall Management contain a deserialization of untrusted data vulnerability in the web-based management interface that could allow an unauthenticated, remote attacker to execute arbitrary Java code as root on an affected device.",2026-03-19,,5,cyber,no,CVE-2026-20131,"Cisco,Secure Firewall Management Center (FMC),kev"
CVE-2025-66376,CISA_KEV,cyber,known_exploited_vulnerability,Synacor Zimbra Collaboration Suite (ZCS) Cross-Site Scripting Vulnerability,Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting vulnerability in the Classic UI where attackers could abuse Cascading Style Sheets (CSS) @import directives in email HTML.,2026-03-18,,4,cyber,no,CVE-2025-66376,"Synacor,Zimbra Collaboration Suite (ZCS),kev"
CVE-2026-20963,CISA_KEV,cyber,known_exploited_vulnerability,Microsoft SharePoint Deserialization of Untrusted Data Vulnerability,Microsoft SharePoint contains a deserialization of untrusted data vulnerability that allows an unauthorized attacker to execute code over a network.,2026-03-18,,4,cyber,no,CVE-2026-20963,"Microsoft,SharePoint,kev"
CVE-2025-47813,CISA_KEV,cyber,known_exploited_vulnerability,Wing FTP Server Information Disclosure Vulnerability,Wing FTP Server contains a generation of error message containing sensitive information vulnerability when using a long value in the UID cookie.,2026-03-16,,4,cyber,no,CVE-2025-47813,"Wing FTP Server,Wing FTP Server,kev"
CVE-2026-3910,CISA_KEV,cyber,known_exploited_vulnerability,Google Chromium V8 Improper Restriction of Operations Within the Bounds of a Memory Buffer Vulnerability,"Google Chromium V8 contains an improper restriction of operations within the bounds of a memory buffer vulnerability that could allow a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2026-03-13,,4,cyber,no,CVE-2026-3910,"Google,Chromium V8,kev"
CVE-2026-3909,CISA_KEV,cyber,known_exploited_vulnerability,Google Skia Out-of-Bounds Write Vulnerability,"Google Skia contains an out-of-bounds write vulnerability that could allow a remote attacker to perform out of bounds memory access via a crafted HTML page. This vulnerability affects Google Chrome and ChromeOS, Android, Flutter, and possibly other products.",2026-03-13,,4,cyber,no,CVE-2026-3909,"Google,Skia,kev"
